day,dir,seconds,wall_s,control,brain_mode,dist_Ada,eat_Ada,near_Ada,ign_Ada,lab_Ada,cap_Ada,dist_Bia,eat_Bia,near_Bia,ign_Bia,lab_Bia,cap_Bia,dist_Cleo,eat_Cleo,near_Cleo,ign_Cleo,lab_Cleo,cap_Cleo,dist_Dan,eat_Dan,near_Dan,ign_Dan,lab_Dan,cap_Dan,dist_Edu,eat_Edu,near_Edu,ign_Edu,lab_Edu,cap_Edu,dist_Fil,eat_Fil,near_Fil,ign_Fil,lab_Fil,cap_Fil,encontros,encontros_mf_s,pares_mf,cantos,saltos,capturas,entradas_lab,esferas,presa_agua,convulsao_ticks,fugiram,S1_quase,S1_disparou,S2_quase,S2_disparou,S3_quase,S3_disparou,S4_quase,S4_disparou,agregacao
203,runs\cem\day_0203,30.0,337,,reduced,6.66,0.0,0.0,0.0,0.0,0,4.42,0.0,0.0,0.0,0.0,0,13.64,0.0,0.0,0.0,0.0,0,9.56,2.14,0.0,0.0,0.0,0,63.22,0.0,0.0,0.0,0.0,0,15.4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,78.0,124.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,0,0,0.0
204,runs\cem\day_0204,30.0,362,,reduced,11.78,0.0,0.0,0.0,0.0,0,16.92,0.0,0.0,0.0,0.0,0,6.24,27.16,0.0,0.0,0.0,0,21.28,0.0,0.0,0.0,0.0,0,13.08,0.0,0.0,0.0,0.0,0,30.02,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,82.0,120.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0.0
205,runs\cem\day_0205,30.0,376,,reduced,5.48,0.14,0.12,0.0,0.0,0,51.94,0.0,0.0,0.0,0.0,0,24.42,0.12,0.0,0.0,0.0,0,37.08,3.26,0.12,0.0,0.0,0,17.86,1.68,0.0,0.0,0.0,0,34.58,0.0,0.0,0.0,0.0,0,2.0,0.12,2.0,202.0,262.0,0.0,0.0,4.0,2.0,0.0,0,1,0,0,0,0,0,0,0,0.0006666666666666666
206,runs\cem\day_0206,30.0,349,,reduced,25.92,2.84,0.0,0.0,0.0,0,17.72,0.0,14.24,0.0,0.0,0,2.88,0.0,0.0,0.0,0.0,0,39.36,0.06,14.24,0.0,0.0,0,10.84,0.0,0.0,0.0,0.0,0,38.6,0.0,0.0,0.0,0.0,0,2.0,14.24,2.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.079
207,runs\cem\day_0207,30.0,350,,reduced,3.52,5.5,6.16,0.0,0.0,0,1.28,30.76,0.0,0.0,0.0,0,5.46,2.7,0.0,0.0,0.0,0,73.34,0.0,0.0,0.0,0.0,0,38.18,0.0,0.0,0.0,0.0,0,6.58,0.0,6.16,0.0,0.0,0,2.0,6.16,2.0,64.0,156.0,0.0,0.0,0.0,4.0,0.0,0,0,0,0,0,0,0,0,0,0.034333333333333334
208,runs\cem\day_0208,30.0,352,,reduced,37.02,3.0,0.0,0.0,0.0,0,29.36,0.0,0.0,0.0,0.0,0,12.38,0.0,0.0,0.0,0.0,0,34.12,0.0,0.0,0.0,0.0,0,10.7,0.0,0.0,0.0,0.0,0,8.58,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0.0
209,runs\cem\day_0209,30.0,355,,reduced,17.16,0.0,0.0,0.0,0.0,0,10.6,0.0,0.0,0.0,0.0,0,10.74,0.0,0.0,0.0,0.0,0,32.46,4.46,3.92,0.0,0.0,0,27.84,0.0,3.92,0.0,0.0,0,67.4,0.28,0.0,0.0,0.0,0,2.0,0.0,0.0,144.0,196.0,0.0,0.0,2.0,0.0,0.0,0,2,0,0,0,0,0,0,0,0.021666666666666667
210,runs\cem\day_0210,30.0,338,,reduced,8.66,0.0,0.18,0.0,0.0,0,1.18,0.0,0.0,0.0,0.0,0,2.16,59.02,0.0,0.0,0.0,0,56.36,0.0,0.0,0.0,4.82,0,6.8,0.0,0.0,0.0,0.0,0,18.56,1.5,0.18,0.0,0.0,0,2.0,0.18,2.0,22.0,134.0,0.0,2.0,0.0,4.0,0.0,0,5,1,0,0,0,0,0,0,0.001
211,runs\cem\day_0211,30.0,364,,reduced,13.54,0.0,0.0,0.0,0.0,0,16.6,20.32,0.0,0.0,0.0,0,2.58,0.0,0.0,0.0,0.0,0,18.76,2.2,0.0,0.0,0.0,0,23.84,0.0,0.0,0.0,0.0,0,37.94,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,14.0,146.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0.0
212,runs\cem\day_0212,30.0,369,,reduced,33.28,0.0,0.0,0.0,0.0,0,7.54,31.54,0.34,0.0,0.0,0,7.16,0.0,0.0,0.0,0.0,0,18.36,0.0,0.0,0.0,0.0,0,26.74,0.0,0.0,0.0,0.0,0,20.82,0.34,0.34,0.0,0.0,0,2.0,0.34,2.0,0.0,138.0,0.0,0.0,2.0,0.0,0.0,0,4,0,0,0,0,0,0,0,0.002
